        size|       time|       stride|       cycle|
        2 mb|   219.642s|           64|       98.18|
        1 mb|   211.971s|           64|       94.75|
      512 kb|    74.614s|           64|       33.35|
      500 kb|    66.703s|           64|       29.81|
      400 kb|    59.072s|           64|       26.40| 
      375 kb|    66.733s|           64|       29.73| //unusual pattern
      350 kb|    39.332s|           64|       17.58|
      300 kb|    39.198s|           64|       17.52|
      256 kb|    38.838s|           64|       17.36|
      128 kb|    37.762s|           64|       16.88|
       64 kb|    32.335s|           64|       14.45|
       32 kb|     7.376s|           64|        3.29|
